2024-12-29 16:27:40.469943 [DEBUG] CPU: 52.10%, MEM: 54.10%, REQ: 216, ERR: 0.005
2024-12-29 16:28:40.469943 [WARNING] CPU: 54.76%, MEM: 66.07%, REQ: 221, ERR: 0.024
2024-12-29 16:29:40.469943 [INFO] CPU: 53.92%, MEM: 53.89%, REQ: 199, ERR: 0.001
2024-12-29 16:30:40.469943 [INFO] CPU: 43.05%, MEM: 55.09%, REQ: 190, ERR: 0.011
2024-12-29 16:31:40.469943 [ERROR] CPU: 115.00%, MEM: 92.00%, REQ: 382, ERR: 0.169
2024-12-29 16:32:40.469943 [DEBUG] CPU: 46.72%, MEM: 61.86%, REQ: 217, ERR: 0.006
2024-12-29 16:33:40.469943 [INFO] CPU: 43.42%, MEM: 56.36%, REQ: 173, ERR: 0.006
2024-12-29 16:34:40.469943 [INFO] CPU: 45.24%, MEM: 70.49%, REQ: 205, ERR: 0.011
2024-12-29 16:35:40.469943 [WARNING] CPU: 58.51%, MEM: 58.35%, REQ: 208, ERR: 0.009
2024-12-29 16:36:40.469943 [INFO] CPU: 52.65%, MEM: 53.01%, REQ: 151, ERR: 0.009
2024-12-29 16:37:40.469943 [DEBUG] CPU: 64.23%, MEM: 71.11%, REQ: 219, ERR: 0.016
2024-12-29 16:38:40.469943 [DEBUG] CPU: 50.89%, MEM: 62.37%, REQ: 188, ERR: 0.008
2024-12-29 16:39:40.469943 [INFO] CPU: 56.16%, MEM: 74.45%, REQ: 197, ERR: 0.008
2024-12-29 16:40:40.469943 [INFO] CPU: 50.01%, MEM: 67.21%, REQ: 171, ERR: -0.001
2024-12-29 16:41:40.469943 [DEBUG] CPU: 44.49%, MEM: 45.35%, REQ: 190, ERR: 0.009
2024-12-29 16:42:40.469943 [INFO] CPU: 45.47%, MEM: 77.43%, REQ: 207, ERR: 0.012
2024-12-29 16:43:40.469943 [WARNING] CPU: 56.22%, MEM: 46.33%, REQ: 221, ERR: 0.010
2024-12-29 16:44:40.469943 [INFO] CPU: 56.70%, MEM: 47.14%, REQ: 169, ERR: 0.014
2024-12-29 16:45:40.469943 [INFO] CPU: 53.76%, MEM: 49.18%, REQ: 183, ERR: 0.016
2024-12-29 16:46:40.469943 [INFO] CPU: 38.11%, MEM: 79.71%, REQ: 182, ERR: 0.013
2024-12-29 16:47:40.469943 [INFO] CPU: 46.71%, MEM: 67.24%, REQ: 189, ERR: 0.009
2024-12-29 16:48:40.469943 [INFO] CPU: 50.41%, MEM: 47.97%, REQ: 215, ERR: 0.007
2024-12-29 16:49:40.469943 [INFO] CPU: 47.71%, MEM: 48.07%, REQ: 149, ERR: 0.009
2024-12-29 16:50:40.469943 [WARNING] CPU: 74.13%, MEM: 69.42%, REQ: 200, ERR: 0.009
2024-12-29 16:51:40.469943 [DEBUG] CPU: 50.22%, MEM: 66.57%, REQ: 176, ERR: 0.016
2024-12-29 16:52:40.469943 [INFO] CPU: 57.15%, MEM: 68.62%, REQ: 209, ERR: 0.010
2024-12-29 16:53:40.469943 [WARNING] CPU: 56.73%, MEM: 67.10%, REQ: 193, ERR: 0.007
2024-12-29 16:54:40.469943 [INFO] CPU: 51.02%, MEM: 78.59%, REQ: 175, ERR: 0.003
2024-12-29 16:55:40.469943 [INFO] CPU: 51.65%, MEM: 60.61%, REQ: 203, ERR: 0.011
2024-12-29 16:56:40.469943 [INFO] CPU: 47.77%, MEM: 77.88%, REQ: 168, ERR: 0.006
2024-12-29 16:57:40.469943 [INFO] CPU: 48.97%, MEM: 40.28%, REQ: 196, ERR: 0.018
2024-12-29 16:58:40.469943 [INFO] CPU: 50.21%, MEM: 62.77%, REQ: 175, ERR: 0.007
2024-12-29 16:59:40.469943 [INFO] CPU: 46.25%, MEM: 56.19%, REQ: 226, ERR: 0.013
2024-12-29 17:00:40.469943 [ERROR] CPU: 110.00%, MEM: 87.00%, REQ: 317, ERR: 0.283
2024-12-29 17:01:40.469943 [INFO] CPU: 65.81%, MEM: 47.82%, REQ: 184, ERR: 0.004
2024-12-29 17:02:40.469943 [DEBUG] CPU: 47.66%, MEM: 65.60%, REQ: 220, ERR: 0.010
2024-12-29 17:03:40.469943 [INFO] CPU: 46.80%, MEM: 61.82%, REQ: 183, ERR: 0.020
2024-12-29 17:04:40.469943 [WARNING] CPU: 33.92%, MEM: 62.22%, REQ: 240, ERR: 0.010
2024-12-29 17:05:40.469943 [INFO] CPU: 48.10%, MEM: 55.71%, REQ: 196, ERR: 0.017
2024-12-29 17:06:40.469943 [DEBUG] CPU: 27.88%, MEM: 78.40%, REQ: 172, ERR: 0.009
2024-12-29 17:07:40.469943 [INFO] CPU: 45.71%, MEM: 67.06%, REQ: 168, ERR: 0.012
2024-12-29 17:08:40.469943 [WARNING] CPU: 70.24%, MEM: 43.64%, REQ: 204, ERR: 0.007
2024-12-29 17:09:40.469943 [INFO] CPU: 54.26%, MEM: 60.23%, REQ: 187, ERR: 0.012
2024-12-29 17:10:40.469943 [WARNING] CPU: 68.04%, MEM: 57.71%, REQ: 214, ERR: 0.004
2024-12-29 17:11:40.469943 [INFO] CPU: 40.44%, MEM: 65.67%, REQ: 230, ERR: 0.012
2024-12-29 17:12:40.469943 [WARNING] CPU: 46.87%, MEM: 59.99%, REQ: 175, ERR: 0.013
2024-12-29 17:13:40.469943 [INFO] CPU: 58.82%, MEM: 54.57%, REQ: 191, ERR: 0.011
2024-12-29 17:14:40.469943 [INFO] CPU: 45.63%, MEM: 59.21%, REQ: 242, ERR: 0.009
2024-12-29 17:15:40.469943 [INFO] CPU: 46.42%, MEM: 52.23%, REQ: 215, ERR: 0.009
2024-12-29 17:16:40.469943 [DEBUG] CPU: 43.51%, MEM: 75.86%, REQ: 228, ERR: 0.007
2024-12-29 17:17:40.469943 [INFO] CPU: 31.33%, MEM: 72.09%, REQ: 186, ERR: 0.014
2024-12-29 17:18:40.469943 [WARNING] CPU: 30.30%, MEM: 70.71%, REQ: 176, ERR: 0.014
2024-12-29 17:19:40.469943 [DEBUG] CPU: 50.14%, MEM: 48.55%, REQ: 192, ERR: 0.013
2024-12-29 17:20:40.469943 [INFO] CPU: 51.06%, MEM: 67.01%, REQ: 240, ERR: 0.002
2024-12-29 17:21:40.469943 [INFO] CPU: 66.17%, MEM: 61.25%, REQ: 182, ERR: 0.003
2024-12-29 17:22:40.469943 [INFO] CPU: 48.11%, MEM: 71.06%, REQ: 197, ERR: 0.018
2024-12-29 17:23:40.469943 [INFO] CPU: 35.49%, MEM: 59.85%, REQ: 175, ERR: 0.012
